,tweet,likes,date
135,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-27 01:26:48
136,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 01:08:54
137,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 00:42:04
138,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 00:21:09
139,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-27 00:09:49
140,"@GabeDuverge It's really funny to me how this is all literally the same European Super League tactics, but it's jus… https://t.co/gXwOfZSa78",0,2021-07-27 00:06:54
141,@el_mansfield @AntSweeney Just like the “European Super League” then. No one knew about it &amp; Bang talks were well u… https://t.co/tpoPfvX9GW,0,2021-07-27 00:05:41
142,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 23:59:12
143,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 23:57:01
144,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 23:53:58
145,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 23:48:55
146,Who’s to say that this won’t end like the proposed European Super-league a few months ago?,0,2021-07-26 23:45:57
147,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 23:41:08
148,RT @tkaur25: He still waiting on that European Super League money to bail him out https://t.co/GC71VQLxNu,0,2021-07-26 23:30:36
149,@osbornejamie @RacingLeagueUK Didn’t football just try and do a similar thing with the European super league it was… https://t.co/k3Lt89WnsB,3,2021-07-26 23:17:44
150,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 23:13:46
151,RT @UtdDistrict: 🗞 #mufc are finalising plans for a new fan advisory board as part of the Glazer family’s bid to improve relations between…,0,2021-07-26 23:03:26
152,"Man Utd doing some good business in the transfer market this year &amp; no one has mentioned the reason why.

No guessi… https://t.co/fYbIYNCoiM",0,2021-07-26 22:48:01
153,@kevinblake2011 @Donolphin31 @KchurchyK @AtTheRaces TBH racing doesn’t give a toss about ‘smaller’ yards/horses. Th… https://t.co/cb2VloV4Tt,1,2021-07-26 22:42:07
154,RT @sportslawyers: Join our panel of legal experts for a webinar on international soccer about the rise and fall of the proposed European S…,0,2021-07-26 22:30:36
155,@BTragett @sproston_rob @MarkLen29818673 @MichaelVaughan @MattersCounty The Hundred is fine to fans because most pe… https://t.co/MFTYcTQ0TA,1,2021-07-26 22:28:38
156,RT @TelegraphDucker: #MUFC are finalising plans for a new fan advisory board &amp; advancing discussions over a fan share scheme in the cleares…,0,2021-07-26 22:19:14
157,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 22:11:36
158,"RT @SwissRamble: The daunting #FCBarcelona financial challenges help explain why they wanted to be part of the European Super League, espec…",0,2021-07-26 21:56:43
159,"RT @SwissRamble: Furthermore, #FCBarcelona revenue dropped €126m (15%) in 2020 , the second highest reduction in absolute terms of the “Eur…",0,2021-07-26 21:55:15
160,His master plan is European Super League &amp; insallah https://t.co/yxFLC9W1fy,0,2021-07-26 21:47:02
161,RT @anthonytbroome: It blows my mind that months ago people were appalled at the idea of the European Super League but in America with coll…,0,2021-07-26 21:42:04
162,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-26 21:40:09
163,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-26 21:31:52
164,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-26 21:29:15
165,RT @TelegraphDucker: #MUFC are finalising plans for a new fan advisory board &amp; advancing discussions over a fan share scheme in the cleares…,0,2021-07-26 21:28:23
166,RT @anthonytbroome: It blows my mind that months ago people were appalled at the idea of the European Super League but in America with coll…,0,2021-07-26 21:15:34
167,The European Super League was a good idea,12,2021-07-26 21:14:24
168,@XavsFutbol Reason he initiated the European super league...,0,2021-07-26 21:13:42
169,"Varane to seal move to United, statement of intent from the hierarchy. But is this the back of European Super Leagu… https://t.co/4xqvRgFFHb",0,2021-07-26 21:10:38
170,"@jigster9 @SwissRamble I like Swiss ramble,you get good articles from them,you can see why barca wanted a European… https://t.co/NVl8R0nUq9",1,2021-07-26 21:02:24
171,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-26 20:55:33
172,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-26 20:53:19
173,@Biffarinho @P_Wcricket @MichaelVaughan So ironic to see someone with your header mock and dismiss the concerns of… https://t.co/AMs6r30XKm,0,2021-07-26 20:47:57
174,RT @tkaur25: He still waiting on that European Super League money to bail him out,0,2021-07-26 20:46:50
175,@lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,517,2021-07-26 20:42:31
176,Join our panel of legal experts for a webinar on international soccer about the rise and fall of the proposed Europ… https://t.co/D1dsnagZKN,1,2021-07-26 20:15:06
177,RT @BTLvid: Three months after the anger over the European Super League caused Manchester United fans to infiltrate Old Trafford and clash…,0,2021-07-26 20:14:59
178,That whole European super league a real life example of what college football is heading towards. Been saying it fo… https://t.co/32ARARtlLi,4,2021-07-26 20:12:39
179,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 20:05:18
180,@muddassirjourno I don’t think Madrid is the draw it was mate at the moment. Need a change of the ownership. Don’t… https://t.co/K6TRNL7WjA,0,2021-07-26 20:03:33
181,@QuinneyUte The better comparison might be would one still watch if Arsenal had joined the European Super League?,1,2021-07-26 19:51:15
182,"European Super League, thank you very much.😂
You triggered this spending.
Manchester united fans everywhere… https://t.co/UVcueVo7tJ",1,2021-07-26 19:49:32
183,@OleMissFB European Super League type beat.,0,2021-07-26 19:48:22
184,RT @UtdDistrict: 🗞 #mufc are finalising plans for a new fan advisory board as part of the Glazer family’s bid to improve relations between…,0,2021-07-26 19:46:34
185,Sky Documentaries commissions thrilling European Super League documentary with exclusive access https://t.co/dIcICYbcM3,0,2021-07-26 19:43:55
186,In a way that whole European super league fiasco was the best thing that could have happened to us,0,2021-07-26 19:40:10
187,RT @TelegraphDucker: #MUFC are finalising plans for a new fan advisory board &amp; advancing discussions over a fan share scheme in the cleares…,0,2021-07-26 19:34:01
188,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:31:10
189,"RT @OvieO: I must say @ManUtd ‘s response to the European Super League fiasco has been the best of all the clubs involved. 

Owner meeting…",0,2021-07-26 19:27:53
190,"RT @OvieO: I must say @ManUtd ‘s response to the European Super League fiasco has been the best of all the clubs involved. 

Owner meeting…",0,2021-07-26 19:27:06
191,"I must say @ManUtd ‘s response to the European Super League fiasco has been the best of all the clubs involved. 

O… https://t.co/zyX6EW9Czc",40,2021-07-26 19:25:27
192,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:23:43
193,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-26 19:20:16
194,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-26 19:19:56
195,This pretty much the reason the European Super League exists? https://t.co/1AdNFMHZtJ,0,2021-07-26 19:17:43
196,RT @UtdDistrict: 🗞 #mufc are finalising plans for a new fan advisory board as part of the Glazer family’s bid to improve relations between…,0,2021-07-26 19:17:16
